chunk,Question,Answer,Cluster_labels,index
"to weaken, resulting in red-shifted vibrational modes. Evidence for dynamic ML bond equilibria in MOFs was recently reported as VT-DRIFTS spectra for a series of archetypical carboxylate MOFs. The observed red-shift in the vibrational frequencies of the symmetric and asymmetric C-O stretches suggested the coexistence of ""tight"" and ""loose"" states in thermal equilibrium. This nomenclature was adopted over ""bound"" and ""unbound"" because previously reported molecular dynamics simulations 26 revealed that MOF ML bonds dynamically fluctuate between conformations with a wide range of bond lengths and angles. Accordingly, carboxylate MOFs were interpreted to exist in an equilibrium between two shallow and wide potential energy surfaces that encompass of diverse collections of tightly or loosely bound ML states. The relative abundances of the ""tight"" and ""loose"" states can be extracted by fitting two fixed Gaussians to these data at different temperatures, permitting quantification of a ""flexibility"" constant (ln Kflex, Kflex = [loose]/[tight]), defined as the inverse of the familiar formation constants Kf reported for molecular complexes. In HKUST-1 (Fig. and), an ln Kflex of ~0.3 was observed at room temperature, which compares well to values reported for discrete metal complexes such as zinc and copper benzoates/acetates in the range of 0.1-1.5. This analysis also suggests that unbound states likely comprise a significant portion of MOF structures. To gain insight into the thermodynamics of this equilibrium, Van't Hoff analysis of VT-DRIFTS data of HKUST-1 was performed to assess the temperature dependence of Kflex. This result suggests that the population of loose states is associated with a small endothermic barrier (ΔH = 5.9 ± 0.2 kJ mol -1 ), overcome by an increase in entropy (ΔS = 22.0 ± 0.6 J mol -1",How does the ln Kflex value of HKUST-1 at room temperature compare to the range of ln Kflex values reported for discrete metal complexes such as zinc and copper benzoates/acetates?,The ln Kflex value of HKUST-1 is within the range reported for discrete metal complexes.,"['Metal organic frameworks', 'Catalytic applications']",
"Thioethers are common motifs in agrochemicals, 1 materials 2 and pharmaceutical compounds. They can be conveniently synthesized via a variety of transformations. One of the most prominent and versatile methods is the metal-catalyzed coupling of thiols with aryl and alkenyl (pseudo)halides, also referred to as Migita-coupling. Until recently aryl bromides and iodides were typically employed as electrophiles rather than the less reactive but abundant aryl chlorides. In comparison to aryl (pseudo)halides, alkenyl electrophiles have been much less systematically explored. One of the disadvantages of halides is the synthesis of not commercially available substrates, which may require multiple steps , forcing reaction conditions 10 restricting the functional group tolerance, as well as toxic chemicals (e.g. CCl4, 11 PCl5 12 ). In contrast, aryl and alkenyl triflates, representatives of pseudohalides, can easily be synthesized in a simple one step procedure from phenols and ketones, rendering them excellent alternative electrophiles. Phenols and ketones are both abundant, available as well as low-cost, and thus attractive building blocks, especially for more complex pharmaceutically active compounds. In particular alkenyl halides, for which even simple compounds are not widely commercially available, triflates are an excellent alternative. This point is supported by a variety of publications reporting the transformation of alkenyl triflates to the corresponding alkenyl halides, showcasing the synthetic potential and",Why are aryl and alkenyl triflates considered excellent alternatives to halides in the synthesis of thioethers?,"Aryl and alkenyl triflates are considered excellent alternatives because they can be synthesized easily in a simple one-step procedure from abundant and low-cost materials like phenols and ketones. In contrast, halides often require multiple synthesis steps, restrictive reaction conditions, and the use of toxic chemicals.","['Catalysis', 'Homogeneous catalysis']",
"Sc-02, Sc-03, Sc-04a, Sc-04b, Sc-05, Ti-03, Ti-04a, Ti-04b, V-01a, V-03, V-04a, V-04b, V-05). It is important to note that in all of these cases, the direct bandgaps correspond to the smallest spin-polarized bandgap value. Electronic excitation from valence to conduction band in direct bandgap semiconductors does not require electrons' momentum to change, e.g. via phonon interactions. Therefore, this type of semiconductors are preferred for applications that require efficient photon absorption and photon emission. Our materials have a wide range of direct bandgap values, from 0.20 to 2.02 eV. Three of these materials have the ability to absorb and emit photons in the visible range: Cr-03, Ti-03, and V-03; since their smallest spin-polarized bandgap value falls between 1.65 and 3.26 eV (visible light spectrum). Interestingly, these materials have a similar structure, as they present a TM-03 intercalation pattern (with the intercalants positioned at the centroid of all benzene rings). The spin-polarized band structures and projected DOS for these materials are plotted in Figure . In this figure, we observe the important role of the transition metals, which provide electron density from their 3d-orbitals near the Fermi level. The transition metals and carbon atoms provide the largest electron density at the CBM/VBM. Thus, it is evident that the carbon 2p-orbitals in the COF layers hybridize with the TM d-orbitals, providing the unique direct-semiconducting electronic structures observed. These results confirm our hypothesis that promoting pd orbital interactions between the COFs and TMs leads to a modification of the electronic structure and properties of these systems. Furthermore, Ti-04a, V-04a, and V-01a-which are also direct semiconductors-have their larger spin-polarized bandgaps in the visible range and, although less likely, these visible-range direct transitions can also occur for these materials.From Table <ref",Which materials have the ability to absorb and emit photons in the visible range?,"Cr-03, Ti-03, and V-03","['Unclassified', 'Unclassified']",
"II. EXPERIMENTAL METHODSTIPS-Pn (Ossila) and TIPS-Tn (Lumtec) were used as received. 8 mM and 0.05 mM solutions of each were prepared in anhydrous toluene (Sigma-Aldrich) in a glovebox under a nitrogen atmosphere. The O 2 content was kept below 0.5 ppm. Steady-state absorbance spectra were recorded on a Cary Varian 1E UV-visible spectrophotometer (supplementary material Sec. 2). The pathlength used for spectroscopic measurements was 0.03 mm for the 8 mM samples and 2 mm for the 0.05 mM samples. Transient absorption spectroscopy measurements were conducted on a home-built instrument, using the 1030 nm output of a pulsed laser operating at a 5 kHz repetition rate (Light Conversion, Pharos). A portion of the output was doubled to 515 nm and introduced to a home-made optical parametric amplifier to obtain 810 nm, which was doubled to a 405 nm pump beam. The probe was a white light continuum obtained by focusing a portion of the 1030 nm output onto a 1 cm pathlength cuvette of D 2 O. The white light continuum was then focused onto the sample with a 0.2 mm spot size, and detected with a spectrograph (Oriel, 77400) and camera (Andor, Zyla 5.5 sCMOS). Experiments were performed with the pump polarization rotated to the magic angle (54.7 • ) relative to the probe. Data were taken at pump powers of 3.8 mW (0.76 µJ) and 2 mW (0.4 µJ), for which no power dependence was observed. Photo-degradation was observed to be less than 10% after each experiment. III. RESULTS AND DISCUSSION",What were the pathlengths used for the 8 mM and 0.05 mM samples in the spectroscopic measurements?,The pathlengths used were 0.03 mm for the 8 mM samples and 2 mm for the 0.05 mM samples.,"['Energy', 'Photovoltaics']",
"and ESIa Fig. ).In comparison to bioconjugation, genetic code expansion using stop codon suppression provides a method of directly incorporating Bpy as the amino acid BpyAla 2 during protein expression (Figure ) . The synthesis of BpyAla was optimised to allow BpyAla production on scales of 10 grams without the need for column chromatography (see ESIa for full details).The SCP-2L gene was codon-optimised for E. coli and prepared by gene synthesis. Amber stop codons were introduced at A100, V83 or Q111 by site-directed mutagenesis. E. coli BL21 (DE3) cells were co-transformed with the pEVOL-BpyAla plasmid, which contains the orthogonal MjTyrRS/MjtRNA Tyr genes , and the pET28 plasmid carrying the SCP gene with a C-terminal TEV cleavable His6 tag. The genes were expressed in the presence of 0.5 mM BpyAla and the resulting proteins purified by Ni-affinity chromatography with the His6 tag removed using TEVprotease. Typical yields were 5-15 mg L -1 in LB media, representing a decrease of 20-80% compared to the yields of SCP-2L without BpyAla. Proteins containing unnatural amino acids are known to have lower expression yields, due to incomplete stop codon supression giving truncated protein. Mass spectrometry on the purified proteins confirmed the successful incorporation of BpyAla at residue positions 100, 111, or 83 (Figure and ESIa Fig. ). The mass of the BpyAla proteins is not 46 Da lower than the SCP CBpy proteins as might be expected due to the absence of the -CH2S-linker, but higher due to the presence of additional amino acids from the TEV site remaining at the C-terminus.).To obtain the Cu-metalloproteins, one",What is the step before the resulting proteins were purified by Ni-affinity chromatography in the process of protein expression using genetic code expansion?,The genes were expressed in the presence of 0.5 mM BpyAla.,"['Catalysis', 'Enzymatic catalysis']",
"absorption spectrum. However, based on the lifetimes obtained it is tempting to propose a tentative assignment as follows:  500 fs EADS to S2-like state, ca. 1p EADS to hot-S1-like state, 10-11ps EADS to S1-like state, 46-60ps EADS to S*-like state, which would then be the parent state for triplets, and the ca 550 ps EADS to interacting triplet states. It is clear that in order to better understand the spectroscopic properties of lycopene aggregates, it is necessary to design an alternative experimental protocol where each aggregate type can be observed selectively. This would allow us to propose more sophisticated models than the current linear scheme. The selective purification of each species of lycopene aggregate would clearly be ideal, but this may well turn out to be extremely complex given the number of different aggregate types formed here and reported in the literature. An alternative would be to use time-resolved resonance Raman spectroscopy, which should be sensitive enough to separate and distinguish the different excited states involved. Indeed, the selectivity of resonance Raman spectroscopy, and its sensitivity to the different arrangements of lycopene aggregates in their ground state, is illustrated very clearly in Figure . Whatever the case, the presence of several aggregation-domains, within the large lycopene aggregates observed by TEM, remains the best hypothesis to explain the obtained spectroscopic data.Figure 11Figure 1Room temperature absorption spectra of monomeric lycopene in n-hexane (solid blue line), in CS2 (dotted blue line), and lycopene aggregates in acetone: water 1:1 suspension (solid red line).",Why is it necessary to design an alternative experimental protocol to better understand the spectroscopic properties of lycopene aggregates?,"It is necessary to design an alternative experimental protocol because the current linear scheme is insufficient for selectively observing each aggregate type, which is crucial for proposing more sophisticated models.","['Spectroscopy', 'Optical spectroscopy']",
"ConclusionFrom a combination of various approaches such as the LUMO energy when the functional group is in conjugation with a -bond, antiperiplanar interactions such as CH→*CN, CH→*CC(=O), CC→*CN and CC→*CC(=O), atomic charges and the charge densities, the overall relative acceptor ability of the three chosen functional groups is NO2 > NO > CHO.Taking this into consideration and also the experimental observation that 3-CHO-cyclobutene opens exclusively inward, it is logical to expect that the corresponding better electron accepting NO2 and NO systems must also open inward.In systems such as 3-substituted cyclobutenes, C3C4→*NO and C3C4→*CO interactions in the transition states leading to inward or outward opening of the ring are significant. These interactions are similar to C1H→*NO and C1H→*CO interactions present in CH3CH2NO and CH3CH2CHO, respectively. The more parallel the C3C4 and NO/CO orbitals, the better will be their interaction and, thus, the more facile the ring opening. Indeed, these interactions during the inward opening are much larger than in the outward opening for the three instances discussed herein.  ASSOCIATED CONTENT Supporting InformationSupporting Information (SI) available: Cartesian coordinates of the optimized ground state substrates studied at the MP2/cc-pVTZ//MP2/6-31G(d) level at 298.15 K.","Which functional group has a higher overall relative acceptor ability, NO2 or CHO?",NO2 has a higher overall relative acceptor ability than CHO.,"['Quantum and theoretical chemistry', 'Theoretical methods']",
"ΔVHL-LL, based on a much smaller dataset, is employed to predict the energies of the remaining points used in VLL. This is due to that ΔVHL-LL spans a very small energy range and shows a ""flat topography"".Then for each point in the dynamically relevant configuration space, ΔVHL-LL can be used to bring its potential energy to a target high level from efficient low-level calculations. Finally, these points with high-level energies are used to fit the final PES, which is again expressed as a single PIP-NN function, resulting an efficient evaluation of the PES during dynamics simulations. Essentially, this new Δ-ML approach is used to efficiently obtain the high-level energies for a large number of configurations.The new PIP-NN based Δ-ML approach is used to develop the globally accurate fulldimensional (12D) PES of the self-reaction of HO2 (HO2 + HO2) at the leading triplet electronic state. The PES of the bimolecular reaction HO2 + HO2 covers much wide ranges in both energy and configuration spaces. Both the asymptotic and the strongly interacting regions need be well described as the scattering results are highly sensitive to the details of the PES, particularly for the title reaction, for which its reactant channel is complicated by the long-range interaction and its leading transition state (TS) is submerged.Ab initio calculations. The reaction profile of the title reaction is illustrated in Figure . The corresponding structural parameters and harmonic frequencies of the stationary points are provided in Figure and Table , respectively. In general, the current calculations are consistent with the recent high-level theoretical results, but apparent discrepancies do exist for TS1, as discussed below.There are two different pathways from the reactants HO2 + HO2 to the same products H2O2 + O2. One first forms the oxywater (H2OO)",Why is ΔVHL-LL employed to predict the energies of the remaining points used in VLL?,"ΔVHL-LL is employed to predict the energies because it spans a very small energy range and shows a 'flat topography', which makes it suitable for efficient energy prediction.","['Quantum and theoretical chemistry', 'Unclassified']",
"underlying photocorrosion constitutes the fundamental prerequisite to improve the durability of PEC electrodes by establishment of appropriate mitigation strategies. Moreover, as there will be a limited lifetime of PEC electrodes, i.e., after operation they will need to be disposed as waste, insights into their degradation on various time scales will enable development of sustainable disposal approaches. The in situ and operando methods hold the promise to provide systematic insights into the photocorrosion phenomena by monitoring the PEC material under relevant timescales and operating conditions, i.e. under applied bias and illumination. So far, techniques such as ambient pressure x-ray photoelectron spectroscopy (APXPS), inductively coupled plasma mass spectroscopy (ICP-MS) and in-situ UV-Vis spectroscopy have been used to assess the photocorrosion mechanism of Cu2O, WO3, BiVO4 and n-GaP photoelectrodes under realistic working conditions. Additionally, X-ray absorption (XAS), Fourier-transform infrared (FTIR) and Raman spectroscopies have been used to monitor in-situ/operando the catalytically active sites and reaction intermediates during the oxygen evolution reaction (OER). Aforementioned methods benefit from enhanced surface sensitivity, allowing to monitor the oxidation states of metal ions at the surface of the electrodes and their dissolution into the electrolyte, but they are limited to the determination of the local atomic environment. X-ray scattering, including total scattering with pair distribution function analysis (TS-PDF) and small-angle scattering (SAXS), is sensitive to morphological and structural changes ranging from the atomic up to nanometer length scales. Thus, it permits to probe local atomic structures as well as the restructuring of the electrode surface and the formation of new phases. Yet, the operando X-ray scattering investigations were restricted only to",What are the benefits and limitations of using in situ and operando methods and X-ray scattering in studying PEC electrodes?,"In situ and operando methods provide systematic insights into photocorrosion phenomena and allow monitoring of the PEC material under relevant timescales and operating conditions. X-ray scattering is sensitive to morphological and structural changes, enabling the probing of local atomic structures and restructuring of the electrode surface. However, operando X-ray scattering investigations are limited to specific conditions.","['Energy', 'Photovoltaics']",
"MethodsSynthesis of Nε-tert-butyloxycarbonyl-L-lysine NCA (Boc-L-Lys NCA) monomer: Boc-L-Lys NCA was prepared according to literature with slight modification . Nε-tert-butyloxycarbonyl-L-lysine (10.0 g, 40.6 mmol) and α-pinene (16.6 mL, 107.4 mmol) were suspended in anhydrous THF (0.3 M) in a round bottom flask cooled with an ice-water bath, followed by the addition of triphosgene (5.4 g, 17.9 mmol) in anhydrous THF under N2. The reaction was stirred at 50 °C for 2 hours, and then concentrated to remove the solvent. The obtained mixture was dissolved in ethyl acetate (80 mL) and washed with ice water (3×80 mL) and cold brine (1×80 mL).The collected organic layer was dried over anhydrous MgSO4, filtered and concentrated to give a crude product.The crude product was purified from recrystallization for three times using mixed solvent of ethyl acetate/hexane (1/2, v/v) in a glovebox with N2 protection to afford pure NCA monomer as a white solid (3.9 g, 35.3%). H NMR (400 MHz, CDCl3): δ 6.92 (br, 1H), 4.66 (br, 1H), 4.33 (dd, J = 6.4, 4.4 Hz, 1H), 3.14 (s, 2H), 1.99-2.05 (m, 1H), 1.80-1.89 (m, 1H), 1.5-1.56 (m, 4H), 1.45 (s, 9H). was prepared from O-(tert-butyl)-L-serine (5 g, 31 mmol), by using the similar method as the Boc-L-lysine NCA, to give a white solid (3.8 g, 65.5%). H NMR (400 MHz, CDCl3): δ 6.53 (br, 1H), 4.42 (dd, J = 4, 2.4 Hz, 1H), 3.72-3.66 (m, 2H), 1.17 (s, 9H). Synthesis of O-(tert-butyl)-L-serine NCA (tBu-L-Ser NCA) monomer: tBu-L-serine NCA",What is the step before filtering and concentrating in the synthesis of Boc-L-Lys NCA monomer?,Drying the organic layer over anhydrous MgSO4,"['Biomedical engineering and technology', 'Regenerative medicine']",
"ResultsCyclic voltammograms of EtnFc attached on the N3C11SH-C8SH self-assembled monolayers (SAMs) modified Au electrode shows an E1/2 at 300 mV at 1 Vps scan rate in pH 7 phosphate buffer at room temperature (Fig. ). The ET rate from the Au electrode to the covalently bound EtnFc across the SAM has been determined using chronoamperometry. Chronoamperometry is a very useful tool for the determination of apparent ET rate (kapp) from an electrode to a redox active species bound to various SAMs modified electrode. In CA experiments, the faradaic current decays according to the following exponential relationship. i = kapp Q exp (-kappt) ………………………………….. (1)  where Q denotes the amount of charge passed during this redox transformation. The CA current decay comprises two types of processes, one for the overall capacitive current decay and the other is due to the faradaic current decay of the attached redox active moiety. The charging current decays very much faster than the faradaic current. This helps to determine the kapp of ET from the electrode to the attached redox active species by simply choosing the appropriate time scale of decay. The plot of Ln(i) vs. time is linear and its slope yields the value of kapp. Chronoamperograms of N3C11SH-C8SH SAM-modified Au electrodes demonstrate a complete decay of charging currents within 0.2 ms time scale (Fig. ) whereas the faradaic currents decay completely at 7.5 ms when EtnFc covalently bound to it (Fig. ). The ET rate from the modified Au electrode to the EtnFc in pH 7 phosphate buffer is determined from the slope of the corresponding semilogarithmic plot of Ln(i) vs. time and is found to be 1030 s -1 which reduced to 575 s -1 when EtnFc bound N3C11SD-C8SD",What is the ET rate from the modified Au electrode to the EtnFc in pH 7 phosphate buffer before it was reduced?,1030 s-1,"['Quantum and theoretical chemistry', 'Quantum effects']",
"of these experiments indicates that regardless of the starting substrates, the reactions lead to an equilibrium of almost equimolar amounts of products. This indicates that the thermodynamic stability of the given sulfinamides is similar, and the steric/electronic effects do not play a major role, at least for the substrates tested. It should be noted that the reaction also proceeds in other solvents than DMSO, such as toluene or acetonitrile. However, DMSO turned out to be the most general solvent in terms of the solubility of both substrates and products. Oftentimes, substrates were well soluble in each solvent, however, the resulting mixture of products after the crossover led to the crystallization of products that complicated further analysis. In terms of limitations, primary sulfinamides undergo the crossover reaction, however with a significant amount of side-products. Also, sulfinamides with electron-rich aromatic N-substituents led to unwanted side-products of the same mass, as indicated by HPLC-MS analysis. These observations are consistent with the reports on acid-catalyzed rearrangement of N-aromatic sulfinamides to sulfoxides. Also, we tested the crossover reaction conditions between sulfinamide and sulfonamide. As expected, no significant reaction was observed after a prolonged reaction time. This experiment indicated that the crossover reaction is indeed specific to sulfinamides.  1.2 1.0 0.9 0.9 0.9 1.0 1.0 1.1 1.0 1.2 1.0 0.9 0.9 0.9 1.1 1.0 1.2 0.9 1.1 0.9 0.8 0.9 1.0 1.0 1.0 1.1 0.9+ + + F F TFA (5 mol %) DMSO 40 °C, 6 h R 1 S N O R 2 R 4 S N O R 5 R 3 R 6 R 4 S N O R 2 R 3 R 1 S N O R 5 R 6 R 1 S N O R 2 R 3 R 4 SIn the next experiment, we tested the crossover reaction of three different sulfinamides, leading to nine possible products. All nine products were synthesized, and the crossover reaction was performed with six sets of three different sulfinamides. All",What turned out to be the most general solvent in terms of the solubility of both substrates and products?,DMSO,"['Catalysis', 'Enzymatic catalysis']",
"charges polarize in response to their chemical environment (for example, the presence of electron donating or withdrawing groups). Bespoke charges are usually assumed to be compatible with the fixed Lennard-Jones parameters of the force field, although these themselves have also been shown to be dependent on the local environment of the atom. Although proteins must also experience polarization effects in both the charges and Lennard-Jones parameters, protein force field parameters have always, to date, been assigned from a transferable library. This leads to an inconsistency in the parametrization strategy used for protein force fields and bespoke small molecule force fields. This is potentially problematic when studying properties that depend on the electrostatic potentials of proteins, such as their interactions with small molecules, and there is no clear way around this using traditional force field fitting methods.To improve the consistency between charge and Lennard-Jones parameters, and also reduce the reliance on fitting to experimental data, one could either directly fit non-bonded MM parameters to reproduce quantum mechanical (QM) energies and forces, or derive the non-bonded parameters of the force field directly from QM. In the latter approach, the QM interaction energy may be broken down into physically motivated components using intermolecular perturbation theory, though these methods are limited to quite small system sizes.",Why does the inconsistency in the parametrization strategy used for protein force fields and bespoke small molecule force fields potentially cause problems?,"The inconsistency in parametrization strategies between protein force fields and bespoke small molecule force fields is potentially problematic because it affects the study of properties that depend on the electrostatic potentials of proteins, such as their interactions with small molecules.","['Quantum and theoretical chemistry', 'Unclassified']",
"type=""bibr"" target=""#b53"">54 .Finally, as in the case of Li 2 , we consider natural orbitals as a tool to interpret the electronic structures of ACCAs. Figure shows two frontier natural orbitals and their occupations for the ground X 1 Σ + g state of MgCCMg; natural orbitals of CaCCCa and SrCCSr are shown in Figure in the SI. In all three molecules, the antibonding natural orbital has a higher occupation number than the bonding orbital in contrast to the case of Li 2 , where, in the agreement with the molecular orbital theory, the bonding natural orbital lies below the antibonding orbital. Such an effect of the flipped orbital ordering has been observed in systems where the (indirect) through-bond interaction between electrons dominates a weak (direct) through-space interaction; for example, it is clearly seen in para-benzyne . Indeed, orbital hybridization induced by the negatively charged linker directs the distribution of the two electrons away from each other, thus minimizing the orbital overlap and through-space interaction.The occupation numbers in all three ACCAs are very close to those of a perfectly diradical wavefunction (i.e., n 1 = n 2 = 1) and, correspondingly, the Head-Gordon's indices are close to the limiting value of 2 (Table in SI). The observed small deviations from the perfect diradical values reflect that the interaction between two unpaired electrons is weak but is not negligible. As such, the electronic wavefunction of the X 1 Σ + g state in all three ACCA molecules is dominated by the covalent configuration with a small contribution from the ionic (chargeresonance) configuration. In contrast, the X 3 Σ + u state is, as expected, of a pure covalent character with the n u,nl = 2.00. The singlet-triplet energy gaps do not exceed 0.02","How do the occupation numbers of the antibonding orbitals compare to those of the bonding orbitals in the molecules MgCCMg, CaCCCa, and SrCCSr?","In all three molecules, the occupation numbers of the antibonding orbitals are higher than those of the bonding orbitals.","['Quantum and theoretical chemistry', 'Quantum computing']",
"and tested whether ZDHHC5 could be responsible for the incorporation of VLCFAs to pMLKL during necroptosis by addition of C20 alkFA to shRFP and shZDHHC5 cells and subsequent enrichment of proteins containing this probe via click chemistry and using neutravidin beads. We observed a decrease in the levels of enriched pMLKL in shZDHHC5 cells (Figure ), suggesting that VLCFAcylation of pMLKL during necroptosis is, at least in part, mediated by ZDHHC5. Overall, our results support that ZDHHC5 activity might play a role in acylation and membrane recruitment and retainment of pMLKL during necroptosis. However, since we still observe VLCFAcylation of pMLKL in shZDHHC5 cells, the involvement of other ZDHHCs in pMLKL acylation is likely.",What role might other ZDHHCs play in the acylation of pMLKL during necroptosis?,"The involvement of other ZDHHCs in the acylation of pMLKL during necroptosis is likely, although ZDHHC5 is a known mediator.","['Biomedical engineering and technology', 'Regenerative medicine']",
"V. RESULTS AND DISCUSSIONWe consider excited states of four small molecules: H 2 /6-31G, H energies for all systems. The excitation energies for H 2 /6-31G system are identical to the FCI results showing absolute errors less than 10 -5 mE h since SD level of theory recovers FCI regime for the two-particle systems. The suggested algorithms also produce nearly exact excitation energies for LiH/STO-3G system showing all errors are within the shaded region (M AX(error) ∼ 0.17 mE h and M AX(error) ∼ 0.30 mE h for the non-variational and variational, respectively). From Fig. ) and (d), one can clearly see that the errors in excitation energies exceed the target accuracy, 1.6 mE h , for the H 4 /STO-3G and the H 2 O/STO-3G at certain inter-nuclear distances due to the strong electron correlation. In the case of water molecule, it is known from standard EOM-CCSD that triple excitations are significant in the bond-breaking regime . In the case of the H 4 /STO-3G system, one needs to take into account triple excitations for T 1 , T 2 , S 2 , and S 3 states. In addition, even quadruple level of excitations (FCI level) need to be considered to achieve the target accuracy for S 1 with a much smaller subspace resulting in the electronic configurations, which are expected to recover the electronic correlations of the current excited state. That is, the dimension of the working space remains within a practical regime for classical computers. The numerical example of H 4 /STO-3G with SDTQ level of excitations is shown in Fig. .Note that the dimension of the working space does not grow significantly with the Davidson method. However, the increase in the level of excitations leads to the increase in the number of projections to be measured in the residual vector calculations of Eq. ( <ref type=""formula""",Why do the errors in excitation energies exceed the target accuracy for the H4/STO-3G and the H2O/STO-3G systems at certain inter-nuclear distances?,"The errors in excitation energies exceed the target accuracy for the H4/STO-3G and the H2O/STO-3G systems at certain inter-nuclear distances due to the strong electron correlation. In the case of the water molecule, triple excitations are significant in the bond-breaking regime. For the H4/STO-3G system, triple excitations for T1, T2, S2, and S3 states need to be considered, and even quadruple level of excitations (FCI level) need to be considered to achieve the target accuracy for S1.","['Quantum and theoretical chemistry', 'Quantum computing']",
"target=""#b4"">[5], and no cell line accurately recapitulates their capabilities. Because cell response needs to be correlated with location on the microarray, standard techniques to quantify the responses of large numbers of stem cells that lose spatial information, including fluorescence-activated cell sorting of immunolabeled cells, gene expression analyses, and colony forming unit assays , cannot be used to identify the fate decisions of cells at specific locations within microarrays. Instead, population-specific immunolabeling and fluorescence microscopy analysis must be used to assess stem cell fate decisions as it affords location specificity and retains spatial information.However, labelling with fluorescent antibodies (Abs) to lineage-associated surface antigens may alter stem cell response. Additionally, spectral crosstalk between the multiple fluorescent Abs that are required to identify the most primitive hematopoietic cell populations , and the difficulty of assessing the intensities of multiple fluorophores hinders the accurate identification of HSC fate decisions using immunofluorescence microscopy .Confocal Raman microspectroscopy is a non-invasive, label-free technique for single-cell analysis. Single-cell Raman spectra consist of combinations of peaks that are related to nucleic acids, proteins, lipids and carbohydrates, where the intensities of these peaks depend on cell type . Prior studies demonstrate that Raman analysis using near-IR excitation does not adversely affect living cells . Suhito et al. have shown that the differentiation of","What is described as a non-invasive, label-free technique for single-cell analysis?",Confocal Raman microspectroscopy,"['Biomedical engineering and technology', 'Regenerative medicine']",
"the mOrange2 and CAAX sequences. For ER targeting, the ER-targeting domain of cytochrome b5 (Cb5; amino acids 100-134) was incorporated at the C-terminus of the fusion protein of HaloTag and mOrange2. A single BamHI site and four amino acids (GGGS) were inserted between mOrange2 and Cb5 sequences. For MOM targeting, the mitochondria-targeting domain of Tom20 (amino acids 1-33) was incorporated into the Nterminus of the fusion protein of mOrange2 and HaloTag. There was only a single BamHI site between the mOrange2 and Halo sequences, and only a single HindIII site between the Tom20 and mOrange2 sequences. The gene encoding Tom20-mOrange2-Halo was inserted into the NheI/EcoRI site of pcDNA3.1(+) vector.For cytPINK1-mOrange2-eDHFR, the gene encoding cytPINK1-mOrange2-eDHFR was inserted into the NheI/EcoRI site of pcDNA3.1(+) vector. A 2×GGGS flexible linker was inserted at the AflII/BamHI site between cytPINK1 and mOrange2. The V5-tag sequence was incorporated into the C-terminus of the fusion protein. Two amino acids (GS) and a single HindIII site were inserted between the mOrange2 and eDHFR sequences, whereas a single SacII site and four amino acids (GGGS) were inserted between the eDHFR and V5tag sequences.For Parkin-miRFP670nano, the gene encoding Parkin-miRFP670nano was inserted into the NheI/EcoRI site of pcDNA3.1(+) vector. The HA-tag sequence was incorporated into the N terminus of the fusion protein. There was only a single HindIII site between the HA-tag and miRFP670nano sequences, and only a single BamHI site between the miRFP670nano and Parkin sequences.Retroviral plasmids for co-expression of Halo-OMP25 with pSu9-mEGFP or mEGFP-rLC3B were generated as follows: the genes encoding HaloTag7 (N2701; Promega, Madison, WI, USA) and the transmembrane domain of rat OMP25 (residues 109-145) were inserted into the HindIII/XhoI site of the retroviral plasmid pMRX-IP",What was incorporated at the C-terminus of the fusion protein of HaloTag and mOrange2 for ER targeting?,The ER-targeting domain of cytochrome b5 (Cb5; amino acids 100-134),"['Biomedical engineering and technology', 'Regenerative medicine']",
"Figure 2 :2Figure 2: The r SE e structures of the six OCS complexes obtained with B2PLYP corrections. Note: the r(C-Ar) with the 18 O isotopologue excluded is 3.5598(3) Å. Figure 3 :3Figure 3: SAPT decomposition of the interaction energies of the six studied OCS complexes. Energies obtained at the r SE e structures.  we have opted to base this analysis on experimentally observed results. The substitution of r 0 and B 0based values for r SE e and B SE e -derived ones, respectively, causes only a negligible difference in the binding energies of at most 40 J/mol. For a comparison of D E values based on r 0 , r SE e , and r DFT e An interaction energy surface of the He• • •OCS dimer calculated with SAPT is shown in Fig. 4. The energy surfaces of the other dimers differ only quantitatively. The two adjusted parameters are the C••Rg distance and S-C••Rg angle. The OCS monomer was held at the equilibrium bond length. He angle ( • ) C••He distance ( Å) Figure 4 :4Figure 4: SAPT interaction energy surface of the He•••OCS complex. Energies in kJ/mol. Blue contours represent binding (spacing 0.025 kJ/mol), red represent repulsion (spacing 1 kJ/mol).",What is the r(C-Ar) with the 18 O isotopologue excluded?,3.5598(3) Å,"['Spectroscopy', 'Optical spectroscopy']",
